total_rounds_played,balance,kills_total,deaths_total,assists_total,damage_total,current_equip_value,team_rounds_total,team_clan_name,tick,steamid,name
0,150,0,0,0,0,1450,0,3DMAX,1263,76561198031890115,Lucky
0,150,0,0,0,0,850,0,3DMAX,1263,76561198179538505,Graviti
0,150,0,0,0,0,850,0,Team Vitality,1263,76561197973140692,mezii
0,150,0,0,0,0,950,0,Team Vitality,1263,76561198113666193,ZywOo
0,150,0,0,0,0,850,0,3DMAX,1263,76561198047876970,Djoko
0,0,0,0,0,0,400,0,Team Vitality,1263,76561197989744167,apEX
0,150,0,0,0,0,850,0,Team Vitality,1263,76561197978835160,flameZ
0,100,0,0,0,0,700,0,3DMAX,1263,76561198045739761,Maka
0,150,0,0,0,0,950,0,Team Vitality,1263,76561197991272318,ropz
0,100,0,0,0,0,900,0,3DMAX,1263,76561198168198200,Ex3rcice
1,0,1,0,1,32,5100,1,3DMAX,8696,76561198031890115,Lucky
1,200,0,1,0,0,3450,1,3DMAX,8696,76561198179538505,Graviti
1,150,0,1,0,14,2100,0,Team Vitality,8696,76561197973140692,mezii
1,100,1,1,0,86,2450,0,Team Vitality,8696,76561198113666193,ZywOo
1,300,0,0,0,0,4200,1,3DMAX,8696,76561198047876970,Djoko
1,0,0,1,0,0,2100,0,Team Vitality,8696,76561197989744167,apEX
1,100,0,0,0,0,2800,0,Team Vitality,8696,76561197978835160,flameZ
1,150,0,0,0,0,3450,1,3DMAX,8696,76561198045739761,Maka
1,100,0,0,0,0,2900,0,Team Vitality,8696,76561197991272318,ropz
1,0,2,0,1,268,4600,1,3DMAX,8696,76561198168198200,Ex3rcice
2,250,3,0,1,210,5100,2,3DMAX,18447,76561198031890115,Lucky
2,350,1,1,1,126,3450,2,3DMAX,18447,76561198179538505,Graviti
2,1800,0,2,0,59,700,0,Team Vitality,18447,76561197973140692,mezii
2,1800,1,2,1,169,700,0,Team Vitality,18447,76561198113666193,ZywOo
2,900,2,1,0,196,5100,2,3DMAX,18447,76561198047876970,Djoko
2,2000,1,2,0,32,700,0,Team Vitality,18447,76561197989744167,apEX
2,2500,0,1,0,38,200,0,Team Vitality,18447,76561197978835160,flameZ
2,1200,0,1,0,0,5100,2,3DMAX,18447,76561198045739761,Maka
2,1950,2,1,0,237,1150,0,Team Vitality,18447,76561197991272318,ropz
2,1150,2,1,1,268,5000,2,3DMAX,18447,76561198168198200,Ex3rcice
3,2500,3,0,2,283,5100,3,3DMAX,26997,76561198031890115,Lucky
3,3600,3,1,1,277,5100,3,3DMAX,26997,76561198179538505,Graviti
3,0,0,3,0,59,4900,0,Team Vitality,26997,76561197973140692,mezii
3,50,2,3,1,293,5150,0,Team Vitality,26997,76561198113666193,ZywOo
3,3550,3,1,1,268,5400,3,3DMAX,26997,76561198047876970,Djoko
3,50,1,3,0,110,5050,0,Team Vitality,26997,76561197989744167,apEX
3,50,0,2,0,60,5050,0,Team Vitality,26997,76561197978835160,flameZ
3,2350,0,2,1,65,5000,3,3DMAX,26997,76561198045739761,Maka
3,50,2,2,0,291,5000,0,Team Vitality,26997,76561197991272318,ropz
3,1300,4,1,2,407,5600,3,3DMAX,26997,76561198168198200,Ex3rcice
4,0,3,1,2,283,4500,3,3DMAX,35957,76561198031890115,Lucky
4,100,3,2,1,277,5100,3,3DMAX,35957,76561198179538505,Graviti
4,2150,1,3,0,85,5200,1,Team Vitality,35957,76561197973140692,mezii
4,1000,2,3,1,293,7250,1,Team Vitality,35957,76561198113666193,ZywOo
4,50,3,2,1,268,5100,3,3DMAX,35957,76561198047876970,Djoko
4,200,3,3,0,309,4850,1,Team Vitality,35957,76561197989744167,apEX
4,1900,1,2,1,234,5250,1,Team Vitality,35957,76561197978835160,flameZ
4,50,0,3,1,92,3900,3,3DMAX,35957,76561198045739761,Maka
4,1000,2,3,0,378,5400,1,Team Vitality,35957,76561197991272318,ropz
4,400,5,1,2,507,5600,3,3DMAX,35957,76561198168198200,Ex3rcice
5,2300,4,2,2,383,500,3,3DMAX,43304,76561198031890115,Lucky
5,2100,3,3,1,277,800,3,3DMAX,43304,76561198179538505,Graviti
5,2250,2,3,0,185,5600,2,Team Vitality,43304,76561197973140692,mezii
5,1100,4,3,1,472,7550,2,Team Vitality,43304,76561198113666193,ZywOo
5,2050,4,3,1,368,800,3,3DMAX,43304,76561198047876970,Djoko
5,1700,4,4,0,334,5400,2,Team Vitality,43304,76561197989744167,apEX
5,100,2,3,2,415,5800,2,Team Vitality,43304,76561197978835160,flameZ
5,1850,0,4,1,92,900,3,3DMAX,43304,76561198045739761,Maka
5,2200,2,4,0,388,5400,2,Team Vitality,43304,76561197991272318,ropz
5,2050,6,2,2,607,1450,3,3DMAX,43304,76561198168198200,Ex3rcice
6,400,4,3,2,383,5100,3,3DMAX,55739,76561198031890115,Lucky
6,200,3,4,1,387,5100,3,3DMAX,55739,76561198179538505,Graviti
6,5050,3,3,1,314,5900,3,Team Vitality,55739,76561197973140692,mezii
6,3000,4,3,1,472,7950,3,Team Vitality,55739,76561198113666193,ZywOo
6,150,4,4,1,380,5100,3,3DMAX,55739,76561198047876970,Djoko
6,950,6,5,0,463,5050,3,Team Vitality,55739,76561197989744167,apEX
6,1950,3,4,4,626,5050,3,Team Vitality,55739,76561197978835160,flameZ
6,850,2,5,1,201,5100,3,3DMAX,55739,76561198045739761,Maka
6,1800,3,4,0,419,5700,3,Team Vitality,55739,76561197991272318,ropz
6,250,6,3,3,668,5000,3,3DMAX,55739,76561198168198200,Ex3rcice
7,500,6,4,3,629,4500,3,3DMAX,65218,76561198031890115,Lucky
7,1750,3,5,1,387,1950,3,3DMAX,65218,76561198179538505,Graviti
7,650,5,4,2,525,5800,4,Team Vitality,65218,76561197973140692,mezii
7,5900,6,3,1,616,7950,4,Team Vitality,65218,76561198113666193,ZywOo
7,1350,4,5,1,431,2300,3,3DMAX,65218,76561198047876970,Djoko
7,2800,7,6,0,537,5050,4,Team Vitality,65218,76561197989744167,apEX
7,2500,3,5,5,675,3150,4,Team Vitality,65218,76561197978835160,flameZ
7,2050,2,6,2,254,2100,3,3DMAX,65218,76561198045739761,Maka
7,1100,3,5,0,441,4400,4,Team Vitality,65218,76561197991272318,ropz
7,1850,8,4,3,718,2500,3,3DMAX,65218,76561198168198200,Ex3rcice
8,3100,6,4,4,702,5100,4,3DMAX,73685,76561198031890115,Lucky
8,3800,4,5,1,487,5600,4,3DMAX,73685,76561198179538505,Graviti
8,1650,5,4,2,603,5200,4,Team Vitality,73685,76561197973140692,mezii
8,0,6,4,1,672,7250,4,Team Vitality,73685,76561198113666193,ZywOo
8,250,5,6,1,521,5100,4,3DMAX,73685,76561198047876970,Djoko
8,300,8,6,0,679,5050,4,Team Vitality,73685,76561197989744167,apEX
8,0,3,6,5,676,4750,4,Team Vitality,73685,76561197978835160,flameZ
8,4150,2,6,2,259,5600,4,3DMAX,73685,76561198045739761,Maka
8,0,3,6,0,441,5600,4,Team Vitality,73685,76561197991272318,ropz
8,4550,9,4,4,846,5500,4,3DMAX,73685,76561198168198200,Ex3rcice
